DATE,BAA
1952-10-01,3.51
1953-01-01,3.57
1953-04-01,3.86
1953-07-01,3.88
1953-10-01,3.74
1954-01-01,3.51
1954-04-01,3.49
1954-07-01,3.47
1954-10-01,3.45
1955-01-01,3.48
1955-04-01,3.51
1955-07-01,3.59
1955-10-01,3.62
1956-01-01,3.60
1956-04-01,3.76
1956-07-01,4.07
1956-10-01,4.37
1957-01-01,4.43
1957-04-01,4.63
1957-07-01,4.93
1957-10-01,5.03
1958-01-01,4.68
1958-04-01,4.55
1958-07-01,4.87
1958-10-01,4.85
1959-01-01,4.85
1959-04-01,5.04
1959-07-01,5.18
1959-10-01,5.28
1960-01-01,5.25
1960-04-01,5.26
1960-07-01,5.01
1960-10-01,5.10
1961-01-01,5.02
1961-04-01,5.03
1961-07-01,5.12
1961-10-01,5.10
1962-01-01,5.04
1962-04-01,5.02
1962-07-01,5.03
1962-10-01,4.92
1963-01-01,4.88
1963-04-01,4.84
1963-07-01,4.84
1963-10-01,4.85
1964-01-01,4.83
1964-04-01,4.85
1964-07-01,4.82
1964-10-01,4.81
1965-01-01,4.78
1965-04-01,4.85
1965-07-01,4.91
1965-10-01,5.02
1966-01-01,5.32
1966-04-01,5.58
1966-07-01,6.09
1966-10-01,6.18
1967-01-01,5.85
1967-04-01,6.15
1967-07-01,6.40
1967-10-01,6.93
1968-01-01,6.85
1968-04-01,7.07
1968-07-01,6.79
1968-10-01,7.23
1969-01-01,7.51
1969-04-01,7.70
1969-07-01,8.05
1969-10-01,8.65
1970-01-01,8.63
1970-04-01,9.25
1970-07-01,9.39
1970-10-01,9.12
1971-01-01,8.46
1971-04-01,8.75
1971-07-01,8.59
1971-10-01,8.38
1972-01-01,8.24
1972-04-01,8.20
1972-07-01,8.09
1972-10-01,7.93
1973-01-01,8.03
1973-04-01,8.13
1973-07-01,8.63
1973-10-01,8.48
1974-01-01,8.62
1974-04-01,9.27
1974-07-01,10.18
1974-10-01,10.63
1975-01-01,10.48
1975-04-01,10.62
1975-07-01,10.61
1975-10-01,10.56
1976-01-01,10.12
1976-04-01,9.89
1976-07-01,9.40
1976-10-01,9.12
1977-01-01,9.12
1977-04-01,8.91
1977-07-01,8.80
1977-10-01,8.99
1978-01-01,9.22
1978-04-01,9.60
1978-07-01,9.42
1978-10-01,9.94
1979-01-01,10.26
1979-04-01,10.38
1979-07-01,10.54
1979-10-01,12.06
1980-01-01,14.45
1980-04-01,12.71
1980-07-01,13.70
1980-10-01,15.14
1981-01-01,15.34
1981-04-01,15.80
1981-07-01,16.92
1981-10-01,16.55
1982-01-01,16.82
1982-04-01,16.92
1982-07-01,15.63
1982-10-01,14.14
1983-01-01,13.61
1983-04-01,13.37
1983-07-01,13.55
1983-10-01,13.75
1984-01-01,13.99
1984-04-01,15.05
1984-07-01,14.35
1984-10-01,13.40
1985-01-01,13.69
1985-04-01,12.40
1985-07-01,12.48
1985-10-01,11.58
1986-01-01,10.50
1986-04-01,10.34
1986-07-01,10.20
1986-10-01,9.97
1987-01-01,9.61
1987-04-01,10.52
1987-07-01,11.31
1987-10-01,11.29
1988-01-01,10.57
1988-04-01,11.00
1988-07-01,10.90
1988-10-01,10.65
1989-01-01,10.67
1989-04-01,10.03
1989-07-01,9.91
1989-10-01,9.82
1990-01-01,10.21
1990-04-01,10.22
1990-07-01,10.64
1990-10-01,10.43
1991-01-01,10.09
1991-04-01,9.96
1991-07-01,9.51
1991-10-01,9.26
1992-01-01,9.25
1992-04-01,9.05
1992-07-01,8.62
1992-10-01,8.81
1993-01-01,8.15
1993-04-01,8.07
1993-07-01,7.34
1993-10-01,7.69
1994-01-01,8.13
1994-04-01,8.65
1994-07-01,8.98
1994-10-01,9.10
1995-01-01,8.70
1995-04-01,7.90
1995-07-01,7.93
1995-10-01,7.49
1996-01-01,8.03
1996-04-01,8.40
1996-07-01,8.35
1996-10-01,7.89
1997-01-01,8.18
1997-04-01,8.02
1997-07-01,7.70
1997-10-01,7.32
1998-01-01,7.32
1998-04-01,7.13
1998-07-01,7.09
1998-10-01,7.23
1999-01-01,7.53
1999-04-01,8.02
1999-07-01,8.20
1999-10-01,8.19
2000-01-01,8.37
2000-04-01,8.48
2000-07-01,8.35
2000-10-01,8.02
2001-01-01,7.84
2001-04-01,7.97
2001-07-01,8.03
2001-10-01,8.05
2002-01-01,8.11
2002-04-01,7.95
2002-07-01,7.40
2002-10-01,7.45
2003-01-01,6.95
2003-04-01,6.19
2003-07-01,6.79
2003-10-01,6.60
2004-01-01,6.11
2004-04-01,6.78
2004-07-01,6.27
2004-10-01,6.15
2005-01-01,6.06
2005-04-01,5.86
2005-07-01,6.03
2005-10-01,6.32
2006-01-01,6.41
2006-04-01,6.78
2006-07-01,6.43
2006-10-01,6.22
2007-01-01,6.27
2007-04-01,6.70
2007-07-01,6.59
2007-10-01,6.65
2008-01-01,6.89
2008-04-01,7.07
2008-07-01,7.31
2008-10-01,8.43
2009-01-01,8.42
2009-04-01,7.50
2009-07-01,6.31
2009-10-01,6.37
2010-01-01,6.27
2010-04-01,6.23
2010-07-01,5.66
2010-10-01,6.10
2011-01-01,6.03
2011-04-01,5.75
2011-07-01,5.27
2011-10-01,5.25
2012-01-01,5.23
2012-04-01,5.02
2012-07-01,4.84
2012-10-01,4.63
2013-01-01,4.85
2013-04-01,5.19
2013-07-01,5.47
2013-10-01,5.38
2014-01-01,5.06
2014-04-01,4.80
2014-07-01,4.80
2014-10-01,4.74
2015-01-01,4.54
2015-04-01,5.13
2015-07-01,5.34
2015-10-01,5.46
2016-01-01,5.13
2016-04-01,4.53
2016-07-01,4.31
2016-10-01,4.83
2017-01-01,4.68
2017-04-01,4.37
2017-07-01,4.3
2017-10-01,4.22
2018-01-01,4.64
2018-04-01,4.83
2018-07-01,4.88
2018-10-01,5.13
2019-01-01,4.84
2019-04-01,4.46
2019-07-01,3.91
2019-10-01,3.88
