DATE,SMB,HML
195201,-0.61,1.54
195202,0.79,-0.61
195203,-2.99,2.16
195204,0.48,-0.1
195205,-1.01,0.08
195206,-1.61,1.23
195207,-0.4,-0.35
195208,1.18,0.03
195209,1.15,-1.51
195210,-1.06,-0.45
195211,-0.71,0.95
195212,-1.48,0.18
195301,3.58,1.32
195302,2.15,-0.08
195303,-0.19,-0.8
195304,0.28,1.53
195305,-0.07,0.23
195306,-1.86,-0.47
195307,-1.05,-0.24
195308,0.36,-3.54
195309,-0.85,-2.42
195310,-1.37,-0.19
195311,-1.29,-0.17
195312,-0.84,-2.84
195401,0.46,3.51
195402,-0.17,-0.28
195403,-0.49,-1.46
195404,-3.48,-0.37
195405,0.39,2.46
195406,0.41,-0.03
195407,1.07,4.11
195408,2.66,-1.36
195409,-2.54,0.66
195410,0.59,0.72
195411,-2.62,4.36
195412,2.14,5.71
195501,0.25,2.18
195502,1.54,0.62
195503,-0.66,1.95
195504,-1.79,0.81
195505,-0.29,-0.86
195506,-4.65,1.92
195507,-1.36,0.63
195508,-0.38,0.58
195509,0.3,-1.06
195510,1.5,-0.03
195511,-2.46,0.5
195512,2.08,-2.24
195601,0.44,1.12
195602,-1.04,-0.53
195603,-2.42,-0.14
195604,0.07,-0.18
195605,1.5,-1.33
195606,-1.46,-1.32
195607,-1.68,-0.01
195608,1.9,-0.71
195609,1.56,1.79
195610,-0.09,-0.06
195611,-0.22,1.78
195612,-0.03,-2.1
195701,3.4,2.78
195702,-0.72,-0.73
195703,0.27,-0.47
195704,-1.6,-1.51
195705,-1.07,-2.05
195706,0.55,0.01
195707,-0.76,0.38
195708,0.06,-0.45
195709,0.08,0.88
195710,-2.52,-1.83
195711,0.4,-2.9
195712,-0.93,-1.71
195801,4.36,4.23
195802,0.7,0.28
195803,0.63,-0.92
195804,-0.59,1.46
195805,2.24,-0.35
195806,-0.24,0.5
195807,0.47,3.12
195808,1.19,0.29
195809,0.15,2.96
195810,1.13,-1.18
195811,2.06,-1.29
195812,-2.07,-0.05
195901,3.02,2.98
195902,1.49,1.05
195903,1.48,-0.35
195904,-0.58,-1.22
195905,-2.15,1.87
195906,0.68,1.33
195907,-0.32,0.26
195908,-0.78,0.44
195909,-0.09,0.57
195910,1.43,-2.05
195911,1.24,-3.27
195912,-0.6,-0.03
196001,2.09,2.73
196002,0.51,-1.99
196003,-0.51,-2.85
196004,0.31,-2.23
196005,1.21,-3.76
196006,-0.22,-0.34
196007,-0.52,2.03
196008,0.9,-0.19
196009,-1.11,1.58
196010,-3.95,2.6
196011,0.35,-2.45
196012,-1.56,-0.79
196101,0.66,3.7
196102,3.98,-0.74
196103,3.27,-0.77
196104,0.1,2.05
196105,1.95,0.48
196106,-2.47,-0.18
196107,-1.88,-0.11
196108,-1.75,-0.28
196109,-1.05,-0.58
196110,-1.61,0.12
196111,1.24,-1.19
196112,-0.83,1.83
196201,1.78,5.09
196202,-1.16,0.85
196203,0.53,-1.43
196204,-0.68,0.03
196205,-3.33,2.78
196206,-0.57,2.54
196207,1.49,-3.44
196208,1.23,-1.19
196209,-2.43,1.23
196210,-3.97,1.29
196211,2.61,1.01
196212,-3.8,0.33
196301,3.06,2.26
196302,0.5,2.21
196303,-2.62,2.1
196304,-1.31,1.01
196305,1.12,2.5
196306,-0.25,0.7
196307,-0.56,-0.83
196308,-0.94,1.67
196309,-0.31,0.18
196310,-0.54,-0.1
196311,-1.13,1.71
196312,-1.97,-0.12
196401,-0.19,1.59
196402,0.1,2.83
196403,0.99,3.32
196404,-1.37,-0.55
196405,-0.9,1.98
196406,-0.26,0.68
196407,0.28,0.68
196408,0.09,0.09
196409,-0.51,1.65
196410,0.43,1.14
196411,0.61,-1.98
196412,-0.26,-2.55
196501,2.7,0.18
196502,3.48,0.22
196503,1.79,1.09
196504,1.2,0.71
196505,0.04,-1.63
196506,-4.35,0.55
196507,0.87,2.18
196508,2.81,-0.96
196509,0.61,-0.1
196510,2.48,1.52
196511,4.68,0.21
196512,2.08,1.95
196601,3.89,3.49
196602,4.54,0.27
196603,0.94,-2.07
196604,3.45,-0.54
196605,-4.7,-1.55
196606,1.02,0.5
196607,-0.44,0.96
196608,-3.23,0.47
196609,-1.07,0.53
196610,-6.64,2.87
196611,4.22,-4.46
196612,1.86,-1.22
196701,8.32,2.22
196702,3.34,-2.17
196703,1.63,0.31
196704,0.62,-2.64
196705,1.98,0.8
196706,5.96,0.96
196707,3.08,2.65
196708,0.47,1.46
196709,3.1,-2.47
196710,1.42,-3.39
196711,0.2,-1.71
196712,5.73,-0.39
196801,3.91,4.75
196802,-2.95,1.17
196803,-1.28,-0.59
196804,5.73,-1.03
196805,6.43,0.84
196806,-0.17,0.67
196807,-1.3,5.48
196808,2.34,1
196809,2.76,0.24
196810,-0.47,2.89
196811,2.36,-0.9
196812,3.44,0.02
196901,-0.78,1.69
196902,-3.89,0.9
196903,-0.25,-0.46
196904,-0.88,0.03
196905,-0.27,0.73
196906,-5.39,-1.09
196907,-3.21,1.42
196908,0.94,-3.87
196909,1.2,-3.19
196910,3.81,-3.19
196911,-2.53,-1.12
196912,-3.67,-3.02
197001,2.9,3.04
197002,-2.4,4.04
197003,-2.32,4.25
197004,-6.11,6.39
197005,-4.52,3.6
197006,-2.16,0.87
197007,-0.54,0.96
197008,1.52,1.03
197009,8.62,-5.58
197010,-4.28,0.27
197011,-4.07,1.63
197012,2.97,1.01
197101,7.37,1.38
197102,1.88,-1.29
197103,2.54,-4.04
197104,-0.49,0.72
197105,-1.1,-1.38
197106,-1.42,-2.06
197107,-1.5,0.17
197108,-0.16,2.67
197109,0.41,-2.96
197110,-1.8,-0.43
197111,-2.85,-1.7
197112,3.32,-0.35
197201,6.12,1.99
197202,1.37,-2.76
197203,-0.27,-1.73
197204,0.01,0.23
197205,-2.79,-2.69
197206,0.33,-2.51
197207,-2.89,0.78
197208,-4.09,4.69
197209,-2.67,0.47
197210,-2.74,1.37
197211,-1.11,4.76
197212,-1.86,-2.27
197301,-3.48,2.68
197302,-3.99,1.7
197303,-2.82,2.78
197304,-3.99,5.69
197305,-6.12,0.21
197306,-2.95,1.44
197307,7.91,-5.31
197308,-2.03,1.14
197309,2.94,2.18
197310,-0.23,1.74
197311,-7.7,4.04
197312,-5.29,4.09
197401,9.76,5.99
197402,0.05,2.54
197403,2.51,-0.11
197404,-0.71,1.06
197405,-3.01,-2.04
197406,-0.2,0.79
197407,0.92,5.14
197408,-0.68,2.5
197409,0.27,5.49
197410,-3.51,-9.99
197411,-1.17,-0.16
197412,-4.84,0
197501,11.01,8.44
197502,0.16,-4.56
197503,3.75,2.49
197504,-0.54,-1.11
197505,3.83,-4.02
197506,0.76,1.32
197507,2.69,1.7
197508,-3.2,-0.9
197509,-0.13,0.34
197510,-4.02,0.3
197511,-1.19,1.99
197512,-0.76,1.76
197601,4.8,8.58
197602,7.03,5.78
197603,-1.17,-0.04
197604,-0.03,-0.06
197605,-1.24,-1.32
197606,-1.35,0.68
197607,0.31,1.74
197608,-2.01,0.79
197609,-0.01,-0.29
197610,0.25,-0.13
197611,2.32,1.51
197612,3.01,2.22
197701,4.78,4.26
197702,1.08,0.5
197703,0.99,1.02
197704,-0.12,3.45
197705,1.18,0.84
197706,2.13,-0.64
197707,2.12,-0.59
197708,1.52,-2.79
197709,1.45,-0.49
197710,1.27,1.72
197711,3.72,0.31
197712,1.35,-0.37
197801,2.22,3.31
197802,3.59,0.76
197803,3.48,1.2
197804,0.4,-3.54
197805,4.56,-0.62
197806,1.69,0.59
197807,0.26,-1.11
197808,5.06,-0.46
197809,-0.39,1.87
197810,-9.88,1.36
197811,3.01,-2.22
197812,1.24,-2.19
197901,3.66,2.27
197902,0.45,1.2
197903,3.19,-0.67
197904,2.18,1.05
197905,0.16,1.32
197906,1.17,1.48
197907,1.26,1.7
197908,2.08,-1.55
197909,-0.25,-0.87
197910,-3.34,-1.86
197911,2.74,-3.25
197912,4.17,-1.98
198001,1.65,1.8
198002,-1.82,0.62
198003,-6.64,-1.06
198004,0.97,1.06
198005,2.16,0.39
198006,1.67,-0.89
198007,4.25,-6.3
198008,3.92,-2.64
198009,0.89,-4.79
198010,2.47,-2.74
198011,-3.45,-8.35
198012,-0.28,2.68
198101,3,6.84
198102,-0.31,0.97
198103,3.58,0.67
198104,4.42,2.26
198105,2,-0.43
198106,-0.85,5.13
198107,-2.18,-0.66
198108,-1.95,4.84
198109,-2.66,5.2
198110,2.13,-4.21
198111,-0.96,1.9
198112,1.17,0.74
198201,-1.29,3.17
198202,0.49,6.1
198203,-0.19,3.78
198204,1.51,-2.78
198205,0.47,1.81
198206,-0.4,1.54
198207,0.84,0.15
198208,-4.11,1.16
198209,2.88,0.34
198210,2.35,-3.68
198211,4.77,-1.96
198212,-0.18,0.01
198301,2.7,-0.86
198302,3.23,0.67
198303,1.77,2.07
198304,0.53,0.6
198305,6.16,-1.4
198306,0.91,-3.87
198307,1.46,5.62
198308,-4.3,5.55
198309,0.56,1.09
198310,-3.6,5.06
198311,2.04,-0.62
198312,-0.29,1.67
198401,-0.43,7.63
198402,-1.71,3.36
198403,0.07,0.48
198404,-1.2,1.29
198405,0.03,0.26
198406,-0.32,-2.6
198407,-2.21,0.49
198408,-0.25,-1.85
198409,0.2,5.32
198410,-1.2,0.51
198411,-0.62,4.08
198412,-0.6,-0.17
198501,3.27,-5.43
198502,0.76,-0.12
198503,-1.15,4.1
198504,0.14,3.73
198505,-2.25,-0.86
198506,0.46,0.4
198507,2.85,-1.63
198508,-0.34,2.28
198509,-1.58,1.32
198510,-1.57,0.78
198511,0.23,-2.87
198512,-0.49,-1.53
198601,1.22,0.53
198602,-0.65,-0.94
198603,-0.52,-0.44
198604,2.84,-2.85
198605,-1.32,-0.11
198606,-0.91,1.4
198607,-3.38,4.78
198608,-4.17,3.52
198609,2.28,3.19
198610,-2.48,-1.32
198611,-1.92,-0.06
198612,0.08,0.37
198701,-1.81,-3.18
198702,3.49,-5.99
198703,0.37,1.66
198704,-1.69,-0.33
198705,-0.53,0.13
198706,-2.18,1.07
198707,-0.67,0.66
198708,-0.72,-0.9
198709,0.52,0.28
198710,-8.43,4.23
198711,2.77,3.14
198712,0.13,-4.49
198801,-0.77,5.08
198802,3.36,-1.65
198803,6.16,0.74
198804,0.96,1.69
198805,-2.64,2.3
198806,2.16,-1.07
198807,-0.21,2.27
198808,0.04,2.03
198809,-1.25,-0.68
198810,-2.9,1.71
198811,-1.74,1.24
