,quarterly
,
,
,
,
,
,
,
,
,
10,-0.893333333
11,0.396666667
12,0.036666667
13,0.376666667
14,-2.243333333
15,-0.48
16,0.373333333
17,-1.006666667
18,0.036666667
19,0.593333333
20,-0.113333333
21,0.983333333
22,-0.706666667
23,-0.206666667
24,-1.016666667
25,1.896666667
26,0.47
27,0.603333333
28,0.373333333
29,1.996666667
30,-0.683333333
31,-0.396666667
32,0.69
33,0.696666667
34,0.433333333
35,-0.243333333
36,-1.72
37,2.636666667
38,-0.14
39,-1.56
40,-0.4
41,0.383333333
42,-1.526666667
43,0.096666667
44,-1.72
45,0.313333333
46,-0.146666667
47,-0.603333333
48,-1.213333333
49,0.3
50,-0.843333333
51,-0.046666667
52,0.26
53,2.656666667
54,-1.036666667
55,1.43
56,3.08
57,3.123333333
58,-0.076666667
59,-1.58
60,-0.186666667
61,4.43
62,2.853333333
63,2.216666667
64,2.45
65,-0.106666667
66,3.996666667
67,1.266666667
68,1.776666667
69,-1.64
70,-2.18
71,-0.356666667
72,-0.796666667
73,-0.606666667
74,-4.263333333
75,3.2
76,-1.793333333
77,3.93
78,-1.003333333
79,-0.416666667
80,-0.443333333
81,2.406666667
82,-0.816666667
83,-3.216666667
84,-1.903333333
85,-3.43
86,-4.353333333
87,2.94
88,-4.406666667
89,4.106666667
90,-1.306666667
91,0.17
92,-3.173333333
93,4.973333333
94,1.35
95,-0.213333333
96,-1.99
97,3.553333333
98,-0.873333333
99,-0.57
100,1.86
101,2.283333333
102,1.063333333
103,1.696666667
104,2.113333333
105,3.096666667
106,2.216666667
107,1.643333333
108,-1.876666667
109,2.433333333
110,1.17
111,1.03
112,1.19
113,-2.27
114,1.6
115,3.02
116,-0.42
117,2.09
118,1.856666667
119,-2.263333333
120,0.78
121,-0.33
122,0.526666667
123,-0.13
124,2.313333333
125,2.566666667
126,2.533333333
127,-0.76
128,-0.616666667
129,-0.69
130,-0.496666667
131,-0.753333333
132,-0.806666667
133,0.96
134,-0.55
135,0.31
136,-0.61
137,0.016666667
138,0.203333333
139,-1.756666667
140,-1.44
141,0.683333333
142,-1.466666667
143,-0.29
144,-1.843333333
145,2.916666667
146,0.16
147,-0.473333333
148,-0.896666667
149,0.453333333
150,-0.546666667
151,-1.08
152,-2.316666667
153,0.42
154,-0.546666667
155,-3.486666667
156,-1.463333333
157,3.876666667
158,0.076666667
159,0.763333333
160,-0.606666667
161,2.773333333
162,-2.94
163,1.85E-17
164,2.463333333
165,-0.39
166,0.316666667
167,1.45
168,0.416666667
169,0.633333333
170,-1.126666667
171,0.816666667
172,-0.683333333
173,-1.336666667
174,0.03
175,0.526666667
176,-1.443333333
177,0.193333333
178,1.46
179,-0.806666667
180,-1.713333333
181,-1.71
182,0.186666667
183,2.373333333
184,-2.66
185,-0.693333333
186,-2.233333333
187,-3.523333333
188,-0.856666667
189,-3.073333333
190,3.49
191,1.58
192,2.513333333
193,3.26
194,0.34
195,-1.743333333
196,-1.87
197,2.056666667
198,3.05
199,-2.656666667
200,3.93
201,1.44
202,2.333333333
203,-1.723333333
204,-0.016666667
205,0.643333333
206,2.306666667
207,2.88
208,0.566666667
209,1.04
210,-0.003333333
211,-0.8
212,1.44
213,-1.126666667
214,0.506666667
215,0.476666667
216,-0.256666667
217,2.863333333
218,-1.58
219,-1.51
220,0.496666667
221,0.456666667
222,-0.423333333
223,-1.643333333
224,-0.733333333
225,-0.063333333
226,0.953333333
227,1.633333333
228,-0.556666667
229,0.073333333
230,1.683333333
231,1.21
232,-0.21
233,1.006666667
234,1.016666667
235,0.363333333
236,1.84
237,0.553333333
238,-0.4
239,-2.643333333
240,0.85
241,-0.073333333
242,0.08
243,-0.573333333
244,0.306666667
245,0.25
246,0.136666667
247,1.696666667
248,-0.263333333
249,-0.233333333
250,-1.006666667
251,-2.573333333
252,1.556666667
253,0.986666667
254,0.24
255,-2.1
256,-0.386666667
257,-0.563333333
258,0.356666667
259,1.94
260,0.393333333
261,-0.62
262,0.113333333
263,0.49
264,-1.29
265,0.393333333
266,2.51
267,-1.13
268,-2.726666667
269,0.646666667
270,-0.846666667
271,-1.793333333
272,0.6
