,quarterly
,
,
,
,
,
,
,
,
,
10,0.686666667
11,1.136666667
12,3.596666667
13,1.583333333
14,0.623333333
15,0.05
16,-0.59
17,0.15
18,-0.943333333
19,0.356666667
20,-0.126666667
21,0.526666667
22,-1.183333333
23,0.27
24,-2.146666667
25,1.196666667
26,0.536666667
27,2.123333333
28,-0.84
29,1.226666667
30,0.66
31,0.423333333
32,-1.783333333
33,-0.703333333
34,-2.11
35,1.14
36,-0.213333333
37,0.73
38,0.783333333
39,-0.323333333
40,0.253333333
41,1.503333333
42,1.783333333
43,-1.133333333
44,0.876666667
45,2.19
46,1.403333333
47,0.34
48,0.496666667
49,2.58
50,0.703333333
51,0.806666667
52,-1.13
53,0.496666667
54,-0.123333333
55,0.373333333
56,1.226666667
57,0.563333333
58,-0.53
59,0.653333333
60,-0.936666667
61,0.12
62,-0.293333333
63,0.546666667
64,-1.83
65,1.776666667
66,0.16
67,2.24
68,0.67
69,0.71
70,-0.11
71,-1.88
72,-2.443333333
73,3.776666667
74,3.62
75,-1.196666667
76,0.97
77,-1.316666667
78,-0.906666667
79,-0.04
80,-0.826666667
81,-0.833333333
82,-1.656666667
83,1.98
84,1.286666667
85,2.386666667
86,2.446666667
87,-0.663333333
88,3.29
89,2.806666667
90,-0.063333333
91,4.376666667
92,-3.383333333
93,2.123333333
94,-1.27
95,0.38
96,1.35
97,4.773333333
98,-0.233333333
99,0.746666667
100,1.2
101,1.926666667
102,1.216666667
103,-1.29
104,0.553333333
105,1.756666667
106,-1.19
107,0.1
108,-1.016666667
109,0.933333333
110,1.283333333
111,-0.24
112,-2.363333333
113,0.453333333
114,0.186666667
115,-4.576666667
116,-2.803333333
117,2.826666667
118,2.32
119,3.126666667
120,-0.523333333
121,4.35
122,0.19
123,0.55
124,-1.876666667
125,0.626666667
126,-1.556666667
127,4.086666667
128,2.036666667
129,3.823333333
130,-0.35
131,1.32
132,1.473333333
133,-0.483333333
134,1.09
135,0.656666667
136,-1.206666667
137,-0.283333333
138,-0.52
139,3.83
140,-0.336666667
141,-2.503333333
142,0.29
143,0.013333333
144,0.96
145,1.39
146,0.973333333
147,1.206666667
148,0.466666667
149,0.613333333
150,-0.026666667
151,-1.153333333
152,-0.623333333
153,-0.473333333
154,-2.743333333
155,0.766666667
156,-1.493333333
157,-1.203333333
158,0.686666667
159,-1.01
160,-2.13
161,4.843333333
162,2.996666667
163,-0.59
164,-0.353333333
165,4.503333333
166,0.606666667
167,0.786666667
168,-0.413333333
169,0.643333333
170,1.19
171,-1.366666667
172,-0.713333333
173,0.266666667
174,0.57
175,0.096666667
176,0.356666667
177,-0.036666667
178,-1.183333333
179,0.28
180,2.386666667
181,2.453333333
182,-0.903333333
183,0.736666667
184,2.063333333
185,-0.176666667
186,0.856666667
187,-0.29
188,-3.273333333
189,-1.76
190,0.443333333
191,-1.82
192,-6.043333333
193,-0.946666667
194,0.44
195,4.51
196,8.093333333
197,4.823333333
198,-0.86
199,3.223333333
200,-1.663333333
201,2.31
202,1.91
203,0.136666667
204,-1.446666667
205,-1.486666667
206,0.476666667
207,0.3
208,2.01
209,0.896666667
210,-0.54
211,1.63
212,0.36
213,1.74
214,0.49
215,0.506666667
216,-0.176666667
217,0.493333333
218,2.006666667
219,0.423333333
220,1.07
221,-0.143333333
222,-0.77
223,-2.476666667
224,-1.43
225,0.856666667
226,-1.583333333
227,4.576666667
228,-3.053333333
229,-4.963333333
230,0.86
231,4.653333333
232,-1.45
233,1.856666667
234,-1.356666667
235,-1.78
236,0.106666667
237,0.113333333
238,-1.64
239,-1.7
240,0.416666667
241,-0.043333333
242,-0.21
243,0.856666667
244,2.133333333
245,0.226666667
246,1.016666667
247,-1.136666667
248,0.356666667
249,0.866666667
250,0.043333333
251,-0.603333333
252,-0.88
253,-1.916666667
254,-0.103333333
255,-0.31
256,-1.056666667
257,0.913333333
258,-0.006666667
259,0.246666667
260,5.343333333
261,-2.58
262,-1.433333333
263,0.166666667
264,0.016666667
265,-0.893333333
266,-1.666666667
267,-1.65
268,0.74
269,-2.51
270,-0.513333333
271,0.62
272,-0.7
