caldt,b10ret,t90ret,cpiret
19251231,,,
19260130,,0.004042,0.000000
19260227,,0.003237,0.000000
19260331,,0.002778,-0.005587
19260430,,0.003072,0.005618
19260528,,0.001965,-0.005587
19260630,,0.003459,-0.005618
19260731,,0.002243,-0.011299
19260831,,0.002069,-0.005714
19260930,,0.002273,0.005747
19261030,,0.003195,0.005714
19261130,,0.004337,0.005682
19261231,,0.002778,0.000000
19270131,,0.001413,-0.011299
19270228,,0.002524,-0.005714
19270331,,0.002959,-0.005747
19270430,,0.002546,0.000000
19270531,,0.003667,0.005780
19270630,,0.002583,0.011494
19270730,,0.002991,-0.017045
19270831,,0.002963,-0.005780
19270930,,0.002096,0.005814
19271031,,0.002520,0.005780
19271130,,0.001997,-0.005747
19271231,,0.002230,0.000000
19280131,,0.002225,0.000000
19280229,,0.002774,-0.011561
19280331,,0.002936,0.000000
19280430,,0.002224,0.000000
19280531,,0.001536,0.005848
19280630,,0.003122,-0.005814
19280731,,0.003226,0.000000
19280831,,0.003849,0.000000
19280929,,0.002723,0.011696
19281031,,0.004378,-0.005780
19281130,,0.011137,0.000000
19281231,,0.003451,-0.005814
19290131,,0.002734,0.000000
19290228,,0.004224,0.000000
19290328,,0.003431,-0.005848
19290430,,0.003567,-0.005882
19290531,,0.003884,0.005917
19290629,,0.005193,0.005882
19290731,,0.003345,0.011696
19290830,,0.004720,0.000000
19290930,,0.003573,0.000000
19291031,,0.004796,0.000000
19291127,,0.005018,0.000000
19291231,,0.003661,-0.005780
19300131,,0.000088,-0.005814
19300228,,0.004951,-0.005848
19300331,,0.003475,-0.005882
19300430,,0.002104,0.005917
19300529,,0.005098,-0.005882
19300630,,0.002693,-0.005917
19300731,,0.001984,-0.011905
19300829,,0.001312,-0.006024
19300930,,0.002192,0.006061
19301031,,0.000866,-0.006024
19301129,,0.000999,-0.006061
19301231,,0.001398,-0.018293
19310131,,0.002737,-0.012422
19310228,,0.000407,-0.012579
19310331,,0.000755,-0.006369
19310430,,0.001123,-0.006410
19310529,,0.000687,-0.012903
19310630,,0.000890,-0.013072
19310731,,0.000324,0.000000
19310831,,0.000310,0.000000
19310930,,-0.001059,-0.006623
19311031,,-0.000288,-0.006667
19311130,,0.002097,-0.013423
19311231,,-0.000929,-0.006803
19320130,,0.000523,-0.020548
19320229,,0.000930,-0.013986
19320331,,0.001706,-0.007092
19320430,,0.002487,-0.007143
19320531,,0.001033,-0.014388
19320630,,0.000271,-0.007299
19320730,,0.000292,0.000000
19320831,,0.000411,-0.007353
19320930,,0.000483,-0.007407
19321031,,0.000213,-0.007463
19321130,,0.000224,-0.007519
19321231,,0.000108,-0.007576
19330131,,0.000108,-0.015267
19330228,,-0.000615,-0.015504
19330331,,-0.000024,-0.007874
19330429,,0.002990,0.000000
19330531,,0.000765,0.000000
19330630,,0.000377,0.007937
19330731,,0.000175,0.031496
19330831,,0.000509,0.007634
19330930,,0.000229,0.000000
19331031,,-0.000112,0.000000
19331129,,0.000006,0.000000
19331230,,0.000241,0.000000
19340131,,0.000907,0.000000
19340228,,0.001052,0.007576
19340331,,0.000532,0.000000
19340430,,0.000062,0.000000
19340531,,0.000065,0.000000
19340630,,0.000063,0.007519
19340731,,0.000065,0.000000
19340831,,0.000065,0.000000
19340929,,0.000044,0.014925
19341031,,0.000150,-0.007353
19341130,,0.000104,0.000000
19341231,,0.000188,-0.007407
19350131,,-0.000067,0.014925
19350228,,0.000242,0.007353
19350330,,0.000125,0.000000
19350430,,0.000129,0.007299
19350531,,0.000129,0.000000
19350629,,0.000121,-0.007246
19350731,,0.000133,0.000000
19350831,,0.000129,0.000000
19350930,,0.000125,0.000000
19351030,,0.000167,0.000000
19351130,,0.000256,0.007299
19351231,,0.000129,0.000000
19360131,,0.000129,0.000000
19360229,,0.000161,0.000000
19360331,,0.000172,-0.007246
19360430,,0.000167,0.000000
19360529,,0.000161,0.000000
19360630,,0.000306,0.007299
19360731,,0.000129,0.007246
19360831,,0.000145,0.007194
19360930,,0.000098,0.000000
19361031,,0.000289,0.000000
19361130,,0.000083,0.000000
19361231,,0.000018,0.000000
19370130,,0.000126,0.007143
19370227,,0.000171,0.000000
19370331,,-0.000167,0.007092
19370430,,0.000501,0.007042
19370528,,0.000892,0.006993
19370630,,0.000600,0.000000
19370731,,0.000385,0.006944
19370831,,0.000149,0.000000
19370930,,0.000720,0.006897
19371030,,0.000258,0.000000
19371130,,0.000482,-0.006849
19371231,,0.000316,-0.006897
19380131,,0.000151,-0.013889
19380228,,0.000206,-0.007042
19380331,,0.000026,0.000000
19380430,,0.000192,0.007092
19380531,,0.000095,-0.007042
19380630,,0.000009,0.000000
19380730,,-0.000062,0.000000
19380831,,0.000052,0.000000
19380930,,0.000184,0.000000
19381031,,0.000112,-0.007092
19381130,,-0.000620,0.000000
19381231,,0.000091,0.000000
19390131,,-0.000049,0.000000
19390228,,0.000090,-0.007143
19390331,,-0.000093,0.000000
19390429,,-0.000038,-0.007194
19390531,,0.000091,0.000000
19390630,,0.000013,0.000000
19390731,,0.000005,0.000000
19390831,,0.000022,0.000000
19390930,,0.000064,0.021739
19391031,,0.000022,-0.007092
19391130,,0.000021,0.000000
19391230,,0.000025,0.000000
19400131,,0.000018,-0.007143
19400229,,0.000000,0.007194
19400330,,0.000086,0.000000
19400430,,0.000009,0.000000
19400531,,-0.000098,0.000000
19400629,,0.000049,0.007143
19400731,,0.000129,-0.007092
19400831,,-0.000061,0.000000
19400930,,0.000017,0.000000
19401031,,0.000017,0.000000
19401130,,0.000017,0.000000
19401231,,0.000009,0.007143
19410131,,-0.000069,0.000000
19410228,,-0.000092,0.000000
19410331,,-0.009308,0.007092
19410430,,-0.000079,0.007042
19410531,0.001719,0.000043,0.006993
19410630,0.012416,0.000075,0.020833
19410731,0.012623,0.002262,0.000000
19410830,-0.003640,0.000067,0.013605
19410930,0.002281,0.000110,0.013423
19411031,0.006451,0.000026,0.013245
19411129,-0.000760,-0.000044,0.006536
19411231,-0.017592,0.000222,0.006494
19420131,0.003392,0.000450,0.012903
19420228,-0.006644,0.000239,0.006369
19420331,0.012229,0.000252,0.012658
19420430,-0.004040,0.000188,0.006250
19420529,0.007615,0.000347,0.012422
19420630,0.000883,0.000407,0.000000
19420731,-0.000078,0.000340,0.006135
19420831,0.001116,0.000353,0.006098
19420930,-0.001021,0.000306,0.000000
19421031,0.005693,0.000367,0.012121
19421130,-0.001312,0.000383,0.005988
19421231,0.004165,0.000314,0.005952
19430130,0.006177,0.000325,0.000000
19430227,0.002139,0.000311,0.000000
19430331,-0.001184,0.000346,0.017751
19430430,0.004069,0.000343,0.011628
19430529,0.005485,0.000332,0.005747
19430630,0.002967,0.000360,0.000000
19430731,0.001705,0.000353,-0.005714
19430831,-0.000967,0.000351,-0.005747
19430930,0.002244,0.000340,0.005780
19431030,0.000178,0.000343,0.000000
19431130,0.000607,0.000351,0.000000
19431231,0.001143,0.000310,0.000000
19440131,0.003239,0.000351,0.000000
19440229,0.004889,0.000330,0.000000
19440331,0.003201,0.000306,0.000000
19440429,-0.000508,0.000320,0.005747
19440531,0.002086,0.000348,0.000000
19440630,0.000755,0.000323,0.005714
19440731,0.002912,0.000331,0.005682
19440831,0.004017,0.000330,0.000000
19440930,0.000850,0.000326,0.000000
19441031,0.000904,0.000340,0.000000
19441130,0.001776,0.000333,0.000000
19441230,0.002400,0.000332,0.005650
19450131,0.010495,0.000290,0.000000
19450228,0.005972,0.000359,0.000000
19450331,0.006669,0.000342,0.000000
19450430,0.008062,0.000331,0.000000
19450531,0.000633,0.000339,0.005618
19450630,0.005910,0.000332,0.011173
19450731,-0.002058,0.000340,0.000000
19450831,0.002121,0.000343,0.000000
19450929,0.002739,0.000322,0.000000
19451031,0.004396,0.000350,0.000000
19451130,0.005171,0.000333,0.000000
19451231,0.006394,0.000308,0.005525
19460131,0.002529,0.000308,0.000000
19460228,0.003857,0.000291,-0.005495
19460330,0.000082,0.000311,0.011050
19460430,-0.006704,0.000321,0.005464
19460531,0.000434,0.000321,0.005435
19460628,0.003863,0.000291,0.010811
19460731,-0.000069,0.000356,0.058824
19460830,-0.004448,0.000311,0.020202
19460930,-0.000348,0.000321,0.009901
19461031,0.003170,0.000336,0.019608
19461130,-0.005058,0.000311,0.024038
19461231,0.010200,0.000337,0.009390
19470131,0.002275,0.000321,0.000000
19470228,0.003234,0.000291,0.000000
19470331,0.001381,0.000321,0.018605
19470430,-0.000430,0.000326,0.000000
19470529,0.002127,0.000301,0.000000
19470630,-0.000449,0.000331,0.004566
19470731,0.004430,0.000336,0.009091
19470829,0.004430,0.000602,0.013514
19470930,-0.001299,0.000622,0.022222
19471031,-0.005455,0.000695,0.000000
19471128,-0.008466,0.000657,0.004348
19471231,-0.019462,0.000886,0.012987
19480130,0.002443,0.000777,0.012821
19480227,0.005919,0.000774,-0.008439
19480331,0.005004,0.000901,-0.004255
19480430,0.004529,0.000819,0.017094
19480528,0.011581,0.000764,0.004202
19480630,-0.007959,0.000913,0.008368
19480730,-0.002236,0.000832,0.012448
19480831,-0.000463,0.001568,0.004098
19480930,0.003471,0.000424,0.000000
19481029,-0.002598,0.000527,-0.004082
19481130,0.007578,0.000555,-0.008197
19481231,0.005617,-0.000293,-0.004132
19490131,0.008172,0.000976,-0.004149
19490228,0.004887,0.000897,-0.008333
19490331,0.007448,0.000984,0.000000
19490429,0.001148,0.000930,0.004202
19490531,0.001946,0.001012,-0.004184
19490630,0.016705,0.001065,0.004202
19490729,0.003345,0.001002,-0.008368
19490831,0.011111,0.000900,0.004219
19490930,-0.001145,0.000856,0.004202
19491031,0.001877,0.000939,-0.008368
19491130,0.002103,0.000817,0.004219
19491230,0.005189,0.000971,-0.008403
19500131,-0.006128,0.000913,-0.004237
19500228,0.002117,0.000879,0.000000
19500331,0.000821,0.000976,0.004255
19500428,0.002998,0.000834,0.000000
19500531,0.003311,0.001082,0.004237
19500630,-0.002504,0.000979,0.004219
19500731,0.005549,0.001010,0.012605
19500831,0.001396,0.000806,0.008299
19500929,-0.007247,0.001034,0.004115
19501031,-0.004774,0.001201,0.008197
19501130,0.003503,0.001073,0.004065
19501229,0.001623,0.001151,0.012146
19510131,0.005781,0.001253,0.016000
19510228,-0.007392,0.001075,0.011811
19510330,-0.015735,0.000934,0.003891
19510430,-0.006255,0.001416,0.000000
