caldt,b5ret,b10ret,t90ret,cpiret,vwretd,vwindd,vwretx,vwindx,corpr,fedfund,bm,svar,baa,aaa,t10y,t5y,t90y,earn,hml,smb,dp
19540630,0.003985,0.005859,0.002926,0,0.088675,13.36673,0.076377,24.89654,-0.00133351,1.06,0.732467844,0.002095984,3.47,2.89,2.38,1.96,1.01,2.62,0.686666667,-0.893333333,-3.039089682
19540930,0.000026,0.005289,0.001708,-0.003717,0.093114,14.61135,0.081145,26.91677,0.009830429,1.28,0.677745104,0.002450063,3.45,2.9,2.51,2.16,1.15,2.63,1.136666667,0.396666667,-3.094176399
19541231,-0.001216,-0.005519,0.002896,-0.003731,0.137399,16.61894,0.12218,30.20545,0.008221067,1.35,0.604119785,0.002648281,3.48,3.02,2.68,2.48,1.28,2.77,3.596666667,0.036666667,-3.165142259
19550331,-0.005967,-0.013874,0.002461,0,0.037374,17.24004,0.027515,31.03656,-0.006885528,1.64,0.607761777,0.005603977,3.51,3.05,2.78,2.59,1.41,2.96,1.583333333,0.376666667,-3.180616965
19550630,-0.00306,-0.003941,0.004069,0,0.113843,19.2027,0.103578,34.25125,0.000994671,2.18,0.551641632,0.002018868,3.59,3.13,2.97,2.85,2.07,3.22,0.623333333,-2.243333333,-3.253037435
19550930,0.001755,0.000011,0.003684,0.00749,0.022469,19.63416,0.013134,34.70111,-0.000344342,2.48,0.533624791,0.008913603,3.62,3.15,2.96,2.93,2.54,3.44,0.05,-0.48,-3.249796265
19551230,0.000754,0.002461,0.00567,-0.003717,0.061537,20.84238,0.048051,36.36855,0.011106693,2.5,0.50982801,0.005083761,3.6,3.1,2.96,2.93,2.25,3.62,-0.59,0.373333333,-3.254317028
19560329,0.000693,-0.003848,0.00675,0,0.079543,22.50025,0.069849,38.90887,-0.001763155,2.71,0.5310772,0.003288987,3.76,3.26,3,2.97,2.49,3.69,0.15,-1.006666667,-3.283579127
19560629,0.01138,0.017982,0.00656,0.014924,-0.008882,22.30039,-0.018158,38.20238,-0.008148352,2.95,0.551564593,0.003688373,4.07,3.56,3.38,3.47,2.84,3.6,-0.943333333,0.036666667,-3.236673976
19560928,-0.010686,-0.026225,0.00617,0.007353,-0.031082,21.60726,-0.039899,36.67815,-0.028742448,2.94,0.571909521,0.002518761,4.37,3.75,3.59,3.7,3.21,3.46,0.356666667,0.593333333,-3.184635487
19561231,-0.004319,-0.037192,0.008015,0.007299,0.047381,22.63102,0.034934,37.95949,-0.030979365,2.96,0.544176827,0.004393803,4.43,3.66,3.41,3.46,3.08,3.41,-0.126666667,-0.113333333,-3.226547243
19570329,0.024272,0.047883,0.008786,0.007246,-0.027323,22.01269,-0.037161,36.54887,0.034329126,3,0.599818875,0.00228828,4.63,3.91,3.8,3.83,3.29,3.4,0.526666667,0.983333333,-3.174896541
19570627,-0.009602,-0.048045,0.007544,0.010791,0.078039,23.73054,0.067919,39.03124,-0.045798074,3.47,0.565876532,0.001362853,4.93,4.12,3.92,4.03,3.53,3.42,-1.183333333,-0.706666667,-3.234756867
19570930,0.002063,0.006723,0.009652,0.007117,-0.096754,21.43452,-0.105742,34.90399,-0.002503056,2.98,0.624150778,0.004218226,5.03,3.81,3.21,3.08,3.04,3.47,0.27,-0.206666667,-3.113927628
19571231,0.069665,0.089208,0.01102,0.003534,-0.053439,20.28909,-0.065462,32.61909,0.10426433,1.2,0.653675779,0.009677492,4.68,3.63,2.98,2.64,1.3,3.37,-2.146666667,-1.016666667,-3.070269895
19580331,0.022663,0.031863,0.007409,0.014084,0.069498,21.69914,0.057983,34.51045,0.004450256,0.93,0.668591638,0.002039919,4.55,3.57,2.97,2.46,0.83,3.14,1.196666667,1.896666667,-3.125216002
19580630,0.004402,-0.010516,0.003334,0.003472,0.087321,23.59394,0.076582,37.15335,0.015576618,1.76,0.62466017,0.001618081,4.87,4.09,3.76,3.69,2.44,2.93,0.536666667,0.47,-3.198533105
19580930,-0.045935,-0.058044,0.001365,0,0.116725,26.34793,0.106781,41.12063,-0.05596102,2.42,0.561371197,0.001794767,4.85,4.08,3.86,3.82,2.77,2.88,2.123333333,0.603333333,-3.287784806
19581231,-0.00299,-0.016932,0.008285,0,0.114839,29.3737,0.104736,45.42743,0.015388738,2.8,0.51177932,0.003036457,4.85,4.13,3.99,3.99,2.8,2.89,-0.84,0.373333333,-3.390139259
19590331,0.005624,0.001384,0.007295,0,0.025207,30.11411,0.017135,46.20582,0.001383673,3.39,0.516860282,0.00192111,5.04,4.46,4.34,4.5,3.21,3.11,1.226666667,1.996666667,-3.412960249
19590630,-0.012946,-0.022046,0.007649,0.00692,0.058952,31.8894,0.050844,48.55511,-0.024128897,3.76,0.483219391,0.001835421,5.18,4.52,4.68,4.9,4.04,3.4,0.66,-0.683333333,-3.459897793
19590930,0.009033,-0.008972,0.007863,0.006873,-0.024455,31.10954,-0.0319,47.00623,-0.006778467,3.99,0.492337893,0.00326734,5.28,4.58,4.69,5.01,4.49,3.43,0.423333333,-0.396666667,-3.432720775
19591231,0.004509,-0.016025,0.012596,0.003413,0.063608,33.08835,0.054059,49.54734,0.020332612,3.84,0.457783797,0.00142542,5.25,4.49,4.25,4.31,3.31,3.39,-1.783333333,0.69,-3.463602096
19600331,0.052533,0.077163,0.014338,0,-0.064925,30.94007,-0.072716,45.94444,0.043188426,3.32,0.549798083,0.00303881,5.26,4.45,4.15,4.12,2.46,3.39,-0.703333333,0.696666667,-3.375719517
19600630,0.018301,0.020482,0.010463,0.006803,0.041557,32.22586,0.032858,47.45408,0.009744055,2.6,0.529174862,0.001567673,5.01,4.25,3.8,3.61,2.48,3.26,-2.11,0.433333333,-3.392237505
19600930,0.02816,0.037439,0.006114,0,-0.05041,30.60138,-0.05824,44.69034,0.031163176,1.98,0.584341711,0.00338641,5.1,4.35,3.84,3.67,2.25,3.27,1.14,-0.243333333,-3.325914777
19601230,0.016008,0.003557,0.006996,0.006757,0.094341,33.48835,0.084389,48.46169,0.004129862,2.02,0.550422965,0.002167694,5.02,4.22,3.74,3.6,2.39,3.27,-0.213333333,-1.72,-3.409475025
19610330,0.006692,0.002046,0.006235,0,0.137096,38.07948,0.128799,54.70351,0.033106079,1.73,0.546679869,0.001703524,5.03,4.33,3.88,3.81,2.33,3.09,0.73,2.636666667,-3.520664044
19610630,0.000653,-0.00142,0.006708,0,0.002283,38.16641,-0.004775,54.44228,-0.014702785,1.88,0.540821101,0.00196246,5.12,4.45,3.98,3.9,2.28,3.03,0.783333333,-0.14,-3.524289514
19610929,0.012517,0.009886,0.006287,0.006711,0.036471,39.55839,0.029352,56.04029,0.016624376,2.33,0.527516721,0.001857088,5.1,4.42,4.06,3.91,2.6,3.05,-0.323333333,-1.56,-3.543312873
19611229,0.000918,-0.010663,0.005742,0,0.07479,42.51698,0.066374,59.75989,0.012895168,2.85,0.505922258,0.000964801,5.04,4.39,3.93,3.68,2.72,3.19,0.253333333,-0.4,-3.591130556
19620330,0.019899,0.040407,0.006999,0.003333,-0.021946,41.58389,-0.028782,58.0399,0.028541548,2.68,0.545724592,0.00135612,5.02,4.28,3.91,3.64,2.73,3.37,1.503333333,0.383333333,-3.558039767
19620629,0.004561,0.006812,0.006786,0.003322,-0.213514,32.70515,-0.220048,45.26835,0.01156308,2.9,0.687357469,0.01809566,5.03,4.32,3.98,3.7,2.78,3.47,1.783333333,-1.526666667,-3.313697636
19620928,0.01399,0.018973,0.007901,0.006622,0.035696,33.87258,0.02707,46.49378,0.021792279,2.93,0.666344261,0.003822434,4.92,4.24,3.86,3.56,2.87,3.53,-1.133333333,0.096666667,-3.33863989
19621231,0.01611,0.019217,0.00741,0,0.125765,38.13258,0.114495,51.81709,0.015372157,2.98,0.591627051,0.00527089,4.88,4.19,3.93,3.68,2.89,3.67,0.876666667,-1.72,-3.415817574
19630329,0.001575,0.003663,0.007348,0.003289,0.062645,40.52137,0.05446,54.63906,0.010834925,2.99,0.587528571,0.001451812,4.84,4.23,3.99,3.81,2.99,3.71,2.19,0.313333333,-3.459716451
19630628,0.005812,0.004907,0.007536,0.003279,0.049177,42.51408,0.041182,56.88922,0.003974125,3.48,0.567281575,0.000886919,4.84,4.31,4.08,3.96,3.38,3.84,1.403333333,-0.146666667,-3.467088049
19630930,0.004029,0.003674,0.008319,0.003268,0.038372,44.14543,0.030982,58.65176,0.003995288,3.38,0.547223625,0.001186595,4.85,4.35,4.13,4.04,3.52,3.96,0.34,-0.603333333,-3.480874156
19631231,0.005721,0.007553,0.008975,0.006515,0.04422,46.09754,0.034541,60.67764,0.002985565,3.43,0.525591454,0.003887282,4.83,4.38,4.22,4.14,3.54,4.02,0.496666667,-1.213333333,-3.490902925
19640331,0.006138,0.004017,0.009338,0,0.061843,48.94836,0.054266,63.97037,0.007859269,3.5,0.523675442,0.000369756,4.85,4.41,4.17,4.02,3.48,4.18,2.58,0.3,-3.524653302
19640630,0.015313,0.017677,0.009266,0.003236,0.037504,50.78411,0.02988,65.88178,0.014569469,3.45,0.512206855,0.000878386,4.82,4.42,4.2,4.08,3.53,4.33,0.703333333,-0.843333333,-3.527441456
19640930,0.009679,0.00886,0.009057,0.003227,0.039368,52.78341,0.032138,67.99912,0.01103797,3.85,0.486537121,0.000795319,4.81,4.44,4.18,4.09,3.84,4.47,0.806666667,-0.046666667,-3.530613274
19641231,0.006544,0.010278,0.009516,0.003215,0.01572,53.61317,0.006986,68.47417,0.013438462,4.04,0.4872273,0.000751148,4.78,4.42,4.21,4.15,3.93,4.55,-1.13,0.26,-3.524507202
19650331,0.010828,0.010466,0.009757,0.003205,0.035699,55.52713,0.028506,70.42612,0.010218099,4.04,0.469489905,0.00070364,4.85,4.46,4.21,4.15,3.8,4.68,0.496666667,2.656666667,-3.536512626
19650630,0.010681,0.011425,0.010304,0.009584,-0.024225,54.18197,-0.031505,68.20731,0.00159871,4.01,0.480858957,0.002325903,4.91,4.52,4.29,4.25,3.92,4.84,-0.123333333,-1.036666667,-3.492380145
19650930,0.003164,-0.004952,0.009783,0,0.081651,58.60599,0.074063,73.25896,-0.000203088,4.32,0.448537471,0.000928473,5.02,4.68,4.62,4.72,4.38,4.98,0.373333333,1.43,-3.544148018
19651231,-0.014488,-0.014139,0.010245,0.00633,0.04641,61.32589,0.037445,76.00214,-0.016009439,4.65,0.430637806,0.000631174,5.32,4.92,4.87,4.92,4.59,5.19,1.226666667,3.08,-3.551638458
19660331,0.010459,0.007007,0.011731,0.009434,-0.017597,60.24674,-0.024632,74.1301,-0.014971023,5.17,0.490175936,0.001419901,5.58,5.07,4.81,4.97,4.5,5.34,0.563333333,3.123333333,-3.507557547
19660630,-0.002525,-0.018463,0.012064,0.009346,-0.039024,57.89566,-0.046641,70.67256,0.00169271,5.4,0.520974601,0.002787966,6.09,5.49,5.18,5.5,5.37,5.46,-0.53,-0.076666667,-3.436679388
19660930,0.008237,0.007423,0.011547,0.009259,-0.093638,52.47441,-0.101309,63.51279,-0.02792266,5.4,0.585492496,0.005779368,6.18,5.39,4.84,5,4.96,5.51,0.653333333,-1.58,-3.319107054
19661230,0.035273,0.04776,0.01572,0.006116,0.067137,55.99741,0.056853,67.12371,0.044631161,4.53,0.576945106,0.003948134,5.85,5.13,4.54,4.54,4.26,5.55,-0.936666667,-0.186666667,-3.375983885
19670331,0.028468,0.01934,0.013142,0.00304,0.145022,64.11825,0.136221,76.26734,0.035976247,3.98,0.549550798,0.001647018,6.15,5.44,5.02,5.01,3.54,5.45,0.12,4.43,-3.479513496
19670630,-0.026571,-0.046384,0.010166,0.00909,0.027603,65.88808,0.019888,77.78411,-0.053898932,3.99,0.553204845,0.002798189,6.4,5.65,5.3,5.4,4.42,5.33,-0.293333333,2.853333333,-3.4891532
19670929,0.012096,-0.004859,0.010748,0.009009,0.078344,71.05004,0.07075,83.2873,0.012829063,4.51,0.513564846,0.000873606,6.93,6.19,5.7,5.75,4.97,5.3,0.546666667,2.216666667,-3.537253088
19671229,-0.003074,-0.021267,0.012563,0.008928,0.013286,71.99398,0.005203,83.72066,-0.042528283,5.05,0.525792445,0.00167058,6.85,6.11,5.74,5.76,5.17,5.33,-1.83,2.45,-3.534199457
19680329,0.016597,0.005185,0.012942,0.0118,-0.063968,67.38869,-0.071034,77.77368,0.019446879,6.07,0.566809807,0.002699282,7.07,6.28,5.72,5.85,5.52,5.44,1.776666667,-0.106666667,-3.460208933
19680628,0.021498,0.039574,0.01392,0.011661,0.136688,76.59994,0.128525,87.76955,0.020313147,5.78,0.530741813,0.002493553,6.79,5.97,5.46,5.48,5.19,5.57,0.16,3.996666667,-3.562303825
19680930,0.025061,0.026368,0.014369,0.011527,0.039875,79.65435,0.032796,90.64809,0.049808827,6.02,0.509195439,0.001341253,7.23,6.45,6.03,6.12,5.96,5.66,2.24,1.266666667,-3.582384172
19681231,-0.018015,-0.044944,0.013148,0.011396,0.031893,82.19475,0.024442,92.86369,-0.060647445,6.79,0.504900662,0.000865362,7.51,6.85,6.3,6.41,6.02,5.76,0.67,1.776666667,-3.605642063
19690328,0.017063,-0.008696,0.016592,0.016902,-0.031316,79.62074,-0.037991,89.33568,-0.022275952,8.9,0.557040236,0.001743978,7.7,6.98,6.57,6.75,6.44,5.82,0.71,-1.64,-3.555735296
19690630,-0.00877,-0.000289,0.015587,0.013851,-0.043448,76.16135,-0.050718,84.80474,0.013574688,9.15,0.596777334,0.001729565,8.05,7.14,7.16,7.57,7.09,5.84,-0.11,-2.18,-3.49797028
19690930,-0.027364,-0.044214,0.017577,0.013661,-0.039243,73.17252,-0.046555,80.85663,-0.025864376,8.97,0.640888463,0.004115476,8.65,7.72,7.65,7.96,7.82,5.89,-1.88,-0.356666667,-3.450745938
19691231,0.012545,-0.032599,0.018264,0.016172,0.001577,73.28793,-0.006675,80.31689,-0.047929195,7.76,0.651082013,0.00242643,8.63,7.84,7.07,7.21,6.63,5.78,-2.443333333,-0.796666667,-3.447245927
19700331,0.056532,0.098374,0.022387,0.013263,-0.025334,71.43127,-0.033111,77.65755,0.050018966,7.6,0.690326769,0.003089367,9.25,8.48,7.84,7.85,6.68,5.63,3.776666667,-0.606666667,-3.411737701
19700630,-0.005181,-0.036887,0.019308,0.015706,-0.205636,56.7424,-0.213242,61.09772,-0.040796589,6.29,0.793381417,0.01241847,9.39,8.09,7.39,7.29,6.12,5.52,3.62,-4.263333333,-3.195143379
19700930,0.041979,0.041704,0.017567,0.010309,0.181533,67.04302,0.171001,71.54549,0.080975568,4.9,0.712914761,0.005071609,9.12,7.64,6.39,5.95,4.87,5.36,-1.196666667,3.2,-3.343709406
19701231,0.070482,0.078565,0.016807,0.015306,0.093947,73.34148,0.08436,77.58103,0.087233864,3.71,0.646426358,0.002464031,8.46,7.21,5.7,5,3.38,5.13,0.97,-1.793333333,-3.417325692
19710331,0.061453,0.105858,0.012884,0.005025,0.117727,81.97577,0.109529,86.07843,0.040830924,4.91,0.633811383,0.00148519,8.75,7.64,6.52,6.53,4.75,5.22,-1.316666667,3.93,-3.516795556
19710630,-0.055151,-0.069609,0.007764,0.015,-0.001185,81.87864,-0.008382,85.35695,-0.029040764,5.55,0.643221043,0.001771399,8.59,7.44,6.14,6.14,4.69,5.32,-0.906666667,-1.003333333,-3.49716065
19710930,0.053826,0.084717,0.014224,0.004926,-0.004502,81.50999,-0.011665,84.36128,0.042023333,4.14,0.64608483,0.003493884,8.38,7.25,5.93,5.69,4.01,5.43,-0.04,-0.416666667,-3.497919245
19711231,0.043253,0.025375,0.01366,0.007353,0.045541,85.22202,0.037475,87.52276,0.054177134,3.83,0.643900247,0.003711249,8.24,7.24,6.07,5.87,3.73,5.7,-0.826666667,-0.443333333,-3.536877052
19720330,-0.006149,-0.006583,0.00919,0.007299,0.069873,91.1767,0.062829,93.02177,0.009782365,4.46,0.645901988,0.001323683,8.2,7.23,6.11,5.91,3.91,5.81,-0.833333333,2.406666667,-3.605502021
19720630,0.021611,0.01435,0.010127,0.007246,0.000615,91.23281,-0.006048,92.45917,0.012922022,4.87,0.654015479,0.001517796,8.09,7.22,6.55,6.25,4.66,5.97,-1.656666667,-0.816666667,-3.599304543
19720929,0.009158,-0.000063,0.010386,0.009593,0.023647,93.39018,0.017053,94.03587,0.013353287,5.33,0.637385001,0.001656189,7.93,7.08,6.36,6.16,5.07,6.14,1.98,-3.216666667,-3.61689074
19721229,0.011647,0.031322,0.011766,0.009501,0.070776,100,0.063424,100,0.034837389,7.09,0.595674595,0.001863906,8.03,7.29,6.71,6.8,6.09,6.42,1.286666667,-1.903333333,-3.674065356
19730330,-0.004561,-0.002614,0.01265,0.018823,-0.077908,92.20916,-0.083826,91.61739,0.001373574,8.49,0.676018128,0.003337743,8.13,7.37,6.9,6.69,7.19,6.8,2.386666667,-3.43,-3.596281887
19730629,0.013401,0.002965,0.015725,0.020785,-0.083006,84.55525,-0.089803,83.38985,-0.003435977,10.78,0.720974308,0.006759601,8.63,7.63,7.09,7.05,8.29,7.23,2.446666667,-4.353333333,-3.501018573
19730928,0.025311,0.02747,0.022193,0.022624,0.080926,91.39799,0.073143,89.48925,0.021417914,9.95,0.678808996,0.003898422,8.48,7.68,6.74,6.8,7.45,7.69,-0.663333333,2.94,-3.556098901
19731231,0.010906,0.012854,0.019151,0.022124,-0.111019,81.25106,-0.119202,78.82199,-0.007761702,9.35,0.755588463,0.011072826,8.62,8.01,7.21,7.31,7.96,8.16,3.29,-4.406666667,-3.413290761
19740329,-0.017802,-0.00713,0.017226,0.034633,-0.016754,79.88981,-0.024959,76.85471,-0.034969544,11.93,0.815184013,0.006981192,9.27,8.47,7.54,8.1,7.9,8.36,2.806666667,4.106666667,-3.36709177
19740628,-0.011406,-0.01143,0.02373,0.025104,-0.106981,71.34311,-0.115807,67.95436,-0.051775246,11.34,0.860158772,0.006128191,10.18,9.24,8.04,8.37,8.06,8.74,-0.063333333,-1.306666667,-3.223249258
19740930,0.033014,0.006532,0.022817,0.032653,-0.245408,53.83496,-0.254663,50.6489,-0.030758141,8.53,1.135440144,0.017520298,10.63,8.89,7.43,7.31,7.15,9.11,4.376666667,0.17,-2.936781758
19741231,0.05161,0.072322,0.01877,0.025692,0.087556,58.54856,0.072856,54.33896,0.092976184,5.54,1.120018175,0.017413231,10.48,8.67,7.73,7.3,5.49,8.89,-3.383333333,-3.173333333,-3.002536449
19750331,0.012838,0.015326,0.018744,0.015416,0.244761,72.87896,0.231315,66.90836,0.047585842,5.55,0.972466315,0.008598926,10.62,8.77,7.86,7.51,5.34,8.45,2.123333333,4.973333333,-3.179979161
19750630,0.010236,-0.001648,0.014034,0.017078,0.161037,84.61516,0.149842,76.934,0.035907364,6.24,0.84983902,0.005474266,10.61,8.95,8.43,8.37,6.42,7.96,-1.27,1.35,-3.294502791
19750930,0.001399,-0.035269,0.015897,0.018657,-0.117393,74.68192,-0.126337,67.21438,-0.032789862,5.2,0.940948254,0.005892159,10.56,8.79,8,7.76,5.44,7.76,0.38,-0.213333333,-3.138909117
19751231,0.054724,0.062637,0.018279,0.016484,0.076847,80.42104,0.065671,71.62842,0.092247151,4.84,0.876338851,0.004298148,10.12,8.52,7.73,7.49,5,7.96,1.35,-1.99,-3.2002405
19760331,0.020948,0.039064,0.013954,0.007207,0.164573,93.65615,0.154085,82.66525,0.042132425,5.48,0.784031217,0.004465439,9.89,8.62,7.86,7.61,5.41,8.66,4.773333333,3.553333333,-3.336510178
19760630,0.008014,0.011629,0.0131,0.016101,0.024018,95.90556,0.014245,83.8428,0.003038682,5.25,0.781427631,0.002915236,9.4,8.38,7.59,7.13,5.08,9.25,-0.233333333,-0.873333333,-3.330842013
19760930,0.035123,0.037077,0.014479,0.014085,0.016803,97.51707,0.007147,84.44202,0.055684538,4.65,0.791363274,0.002122399,9.12,7.98,6.87,6.1,4.35,9.55,0.746666667,-0.57,-3.298247538
19761231,0.05517,0.082568,0.014055,0.010416,0.04554,101.958,0.03424,87.33329,0.075180879,4.69,0.779973125,0.00296416,9.12,8.1,7.46,6.93,4.6,9.91,1.2,1.86,-3.268867311
19770331,-0.011987,-0.021709,0.011917,0.022337,-0.060272,95.81275,-0.07004,81.21647,-0.02314245,5.39,0.868429928,0.001696064,8.91,7.95,7.28,6.76,5.02,10.08,1.926666667,2.283333333,-3.166080216
19770630,0.031489,0.007123,0.012159,0.020167,0.045199,100.1434,0.0335,83.93723,0.038568355,6.14,0.871112081,0.002183021,8.8,7.92,7.34,7.04,5.81,10.42,1.216666667,1.063333333,-3.158338371
19770930,0.000813,0.008622,0.012901,0.011532,-0.024443,97.69561,-0.035126,80.98882,0.010864395,6.56,0.942262516,0.001640327,8.99,8.19,7.69,7.48,6.07,10.71,-1.29,1.696666667,-3.098444041
19771230,-0.000469,-0.006184,0.016101,0.0114,0.012636,98.93009,-0.000298,80.96472,-0.008247087,6.79,0.960333025,0.002740309,9.22,8.47,8.04,7.86,6.29,10.89,0.553333333,2.113333333,-3.072946384
