caldt,vwretd,vwindd,vwretx,vwindx
19251231,,1.474616,,12.206360
19260130,0.000561,1.475443,-0.001395,12.189330
19260227,-0.033046,1.426686,-0.036587,11.743360
19260331,-0.064002,1.335375,-0.070021,10.921080
19260430,0.037019,1.384810,0.034031,11.292730
19260528,0.012095,1.401560,0.008585,11.389680
19260630,0.053664,1.476773,0.046189,11.915750
19260731,0.031411,1.523160,0.029225,12.263990
19260831,0.028647,1.566794,0.025358,12.574980
19260930,0.005787,1.575862,0.000030,12.575360
19261030,-0.028996,1.530168,-0.031069,12.184650
19261130,0.028554,1.573860,0.022979,12.464640
19261231,0.029211,1.619834,0.021422,12.731660
19270131,0.002416,1.623748,0.000053,12.732340
19270228,0.045367,1.697413,0.041170,13.256520
19270331,0.003756,1.703789,-0.002242,13.226810
19270430,0.007225,1.716099,0.005134,13.294710
19270531,0.057773,1.815243,0.053623,14.007610
19270630,-0.021087,1.776966,-0.027406,13.623720
19270730,0.075279,1.910734,0.072869,14.616470
19270831,0.022490,1.953707,0.018438,14.885970
19270930,0.049924,2.051243,0.045003,15.555880
19271031,-0.040770,1.967614,-0.042594,14.893300
19271130,0.068453,2.102302,0.063299,15.836040
19271231,0.023782,2.152299,0.018206,16.124350
19280131,-0.003340,2.145111,-0.005101,16.042100
19280229,-0.014478,2.114055,-0.018119,15.751430
19280331,0.090478,2.305332,0.085582,17.099460
19280430,0.043846,2.406411,0.042082,17.819030
19280531,0.017690,2.448981,0.013950,18.067610
19280630,-0.045245,2.338176,-0.050289,17.159020
19280731,0.009400,2.360155,0.007626,17.289880
19280831,0.070206,2.525852,0.066186,18.434230
19280929,0.031498,2.605411,0.028040,18.951130
19281031,0.019228,2.655508,0.017650,19.285620
19281130,0.121500,2.978152,0.116383,21.530140
19281231,0.005557,2.994702,0.001348,21.559170
19290131,0.053935,3.156220,0.052346,22.687700
19290228,-0.000446,3.154812,-0.003386,22.610890
19290328,-0.007808,3.130178,-0.011795,22.344200
19290430,0.017179,3.183952,0.015795,22.697140
19290531,-0.059923,2.993160,-0.063970,21.245190
19290629,0.101573,3.297183,0.098075,23.328820
19290731,0.045958,3.448713,0.044149,24.358760
19290830,0.085343,3.743037,0.081953,26.355020
19290930,-0.050455,3.554183,-0.053236,24.951990
19291031,-0.196684,2.855134,-0.198513,19.998690
19291127,-0.123812,2.501633,-0.127992,17.439010
19291231,0.016390,2.542635,0.010773,17.626880
19300131,0.058407,2.691142,0.055806,18.610570
19300228,0.028242,2.767144,0.024348,19.063700
19300331,0.074631,2.973660,0.070571,20.409050
19300430,-0.020541,2.912578,-0.022460,19.950650
19300529,-0.014010,2.871773,-0.017611,19.599310
19300630,-0.159980,2.412347,-0.164259,16.379940
19300731,0.041964,2.513578,0.039529,17.027420
19300829,0.003663,2.522785,-0.000581,17.017520
19300930,-0.124805,2.207929,-0.129438,14.814800
19301031,-0.086579,2.016769,-0.089129,13.494380
19301129,-0.028057,1.960186,-0.031917,13.063680
19301231,-0.077739,1.807802,-0.084436,11.960640
19310131,0.063792,1.923126,0.061070,12.691080
19310228,0.109695,2.134083,0.104770,14.020720
19310331,-0.062866,1.999922,-0.067999,13.067330
19310430,-0.100219,1.799491,-0.102367,11.729670
19310529,-0.133836,1.558656,-0.138385,10.106470
19310630,0.140340,1.777397,0.133177,11.452420
19310731,-0.066438,1.659310,-0.069027,10.661890
19310831,0.003078,1.664418,-0.001547,10.645400
19310930,-0.291731,1.178855,-0.296941,7.484343
19311031,0.081509,1.274942,0.078213,8.069715
19311130,-0.088402,1.162235,-0.094908,7.303831
19311231,-0.134971,1.005367,-0.143493,6.255785
19320130,-0.010534,0.994776,-0.012963,6.174690
19320229,0.057663,1.052138,0.050590,6.487070
19320331,-0.110599,0.935772,-0.117978,5.721737
19320430,-0.179417,0.767879,-0.182032,4.680196
19320531,-0.206198,0.609544,-0.212804,3.684231
19320630,-0.004289,0.606930,-0.015854,3.625820
19320730,0.340643,0.813677,0.338162,4.851935
19320831,0.371386,1.115865,0.365312,6.624403
19320930,-0.028649,1.083897,-0.034609,6.395141
19321031,-0.132553,0.940223,-0.134024,5.538036
19321130,-0.058260,0.885445,-0.063512,5.186304
19321231,0.045227,0.925492,0.036537,5.375794
19330131,0.009813,0.934574,0.007889,5.418206
19330228,-0.153204,0.791394,-0.158071,4.561747
19330331,0.033105,0.817593,0.025030,4.675928
19330429,0.394143,1.139842,0.392133,6.509511
19330531,0.213261,1.382925,0.209702,7.874569
19330630,0.133364,1.567358,0.128762,8.888511
19330731,-0.096341,1.416356,-0.097262,8.023998
19330831,0.121285,1.588139,0.118881,8.977898
19330930,-0.105836,1.420057,-0.109931,7.990944
19331031,-0.083650,1.301269,-0.085047,7.311338
19331129,0.099896,1.431261,0.094806,8.004496
19331230,0.017876,1.456845,0.013525,8.112757
19340131,0.126779,1.641543,0.125078,9.127485
19340228,-0.024287,1.601675,-0.027694,8.874708
19340331,0.004425,1.608763,0.000179,8.876300
19340430,-0.018345,1.579249,-0.019743,8.701058
19340531,-0.072273,1.465112,-0.075352,8.045415
19340630,0.025344,1.502244,0.020823,8.212948
19340731,-0.109366,1.337950,-0.111132,7.300226
19340831,0.057043,1.414270,0.051711,7.677725
19340929,-0.002362,1.410930,-0.006753,7.625877
19341031,-0.018895,1.384270,-0.020333,7.470819
19341130,0.082095,1.497912,0.077484,8.049689
19341231,0.003554,1.503236,-0.001824,8.035007
19350131,-0.033416,1.453003,-0.035249,7.751785
19350228,-0.019462,1.424725,-0.023779,7.567452
19350330,-0.036013,1.373416,-0.041139,7.256137
19350430,0.090452,1.497645,0.088987,7.901839
19350531,0.034561,1.549405,0.030658,8.144096
19350629,0.057796,1.638955,0.053032,8.575994
19350731,0.074160,1.760500,0.072613,9.198725
19350831,0.026773,1.807634,0.022979,9.410106
19350930,0.026074,1.854767,0.021727,9.614556
19351031,0.069439,1.983561,0.067920,10.267570
19351130,0.052872,2.088435,0.047898,10.759370
19351231,0.046926,2.186437,0.042495,11.216600
19360131,0.069559,2.338523,0.067749,11.976510
19360229,0.025402,2.397927,0.022230,12.242750
19360331,0.008253,2.417717,0.004881,12.302510
19360430,-0.081481,2.220720,-0.082646,11.285760
19360529,0.052043,2.336293,0.047488,11.821700
19360630,0.024671,2.393931,0.020754,12.067040
19360731,0.065954,2.551821,0.064326,12.843270
19360831,0.010950,2.579764,0.006605,12.928100
19360930,0.011899,2.610461,0.007962,13.031030
19361031,0.069986,2.793157,0.068469,13.923250
19361130,0.032854,2.884924,0.024019,14.257670
19361231,0.002796,2.892990,-0.003385,14.209400
19370130,0.033258,2.989203,0.031836,14.661770
19370227,0.013114,3.028403,0.010212,14.811500
19370331,-0.002732,3.020129,-0.006259,14.718790
19370430,-0.075416,2.792362,-0.076577,13.591680
19370528,-0.007054,2.772664,-0.011904,13.429890
19370630,-0.041748,2.656911,-0.046272,12.808460
19370731,0.089725,2.895302,0.088116,13.937100
19370831,-0.048365,2.755271,-0.052758,13.201800
19370930,-0.136623,2.378839,-0.141279,11.336670
19371030,-0.095798,2.150951,-0.097368,10.232850
19371130,-0.083053,1.972307,-0.095200,9.258681
19371231,-0.040774,1.891890,-0.050004,8.795712
19380131,0.006776,1.904709,0.005111,8.840667
19380228,0.058013,2.015207,0.053921,9.317365
19380331,-0.238416,1.534749,-0.243128,7.052051
19380430,0.145963,1.758766,0.144060,8.067967
19380531,-0.039053,1.690080,-0.043677,7.715585
19380630,0.237914,2.092173,0.232474,9.509256
19380730,0.072097,2.243013,0.070628,10.180880
19380831,-0.027139,2.182139,-0.030484,9.870524
19380930,0.008912,2.201587,0.004989,9.919768
19381031,0.078927,2.375351,0.077477,10.688320
19381130,-0.018206,2.332105,-0.023255,10.439760
19381231,0.041919,2.429866,0.036519,10.821010
19390131,-0.060381,2.283148,-0.061611,10.154310
19390228,0.035255,2.363642,0.031195,10.471080
19390331,-0.120727,2.078287,-0.124673,9.165619
19390429,-0.001932,2.074272,-0.003436,9.134128
19390531,0.068971,2.217336,0.064244,9.720937
19390630,-0.053626,2.098430,-0.058185,9.155320
19390731,0.102243,2.312980,0.100681,10.077090
19390831,-0.067264,2.157400,-0.071789,9.353659
19390930,0.161815,2.506500,0.157310,10.825080
19391031,-0.004191,2.495994,-0.005407,10.766550
19391130,-0.037131,2.403315,-0.045817,10.273260
19391230,0.029686,2.474660,0.022795,10.507430
19400131,-0.024215,2.414736,-0.025613,10.238300
19400229,0.014758,2.450372,0.009782,10.338450
19400330,0.018643,2.496054,0.014604,10.489440
19400430,0.000837,2.498143,-0.000930,10.479680
