caldt,b10ret,t90ret,cpiret
19511231,-0.018620,0.004360,0.015326
19520331,0.015336,0.004938,-0.007547
19520630,0.013964,0.003973,0.007604
19520930,-0.021843,0.005088,0.007547
19521231,0.004505,0.004939,0.000000
19530331,-0.016270,0.005376,-0.003744
19530630,-0.003414,0.006082,0.007518
19530930,0.033203,0.006333,0.003731
19531231,0.023117,0.004241,-0.000001
19540331,0.042676,0.003703,0.000000
19540630,0.005859,0.002926,0.000000
19540930,0.005289,0.001708,-0.003717
19541231,-0.005519,0.002896,-0.003731
19550331,-0.013874,0.002461,0.000000
19550630,-0.003941,0.004069,0.000000
19550930,0.000011,0.003684,0.007490
19551230,0.002461,0.005670,-0.003717
19560329,-0.003848,0.006750,0.000000
19560629,0.017982,0.006560,0.014924
19560928,-0.026225,0.006170,0.007353
19561231,-0.037192,0.008015,0.007299
19570329,0.047883,0.008786,0.007246
19570627,-0.048045,0.007544,0.010791
19570930,0.006723,0.009652,0.007117
19571231,0.089208,0.011020,0.003534
19580331,0.031863,0.007409,0.014084
19580630,-0.010516,0.003334,0.003472
19580930,-0.058044,0.001365,0.000000
19581231,-0.016932,0.008285,0.000000
19590331,0.001384,0.007295,0.000000
19590630,-0.022046,0.007649,0.006920
19590930,-0.008972,0.007863,0.006873
19591231,-0.016025,0.012596,0.003413
19600331,0.077163,0.014338,0.000000
19600630,0.020482,0.010463,0.006803
19600930,0.037439,0.006114,0.000000
19601230,0.003557,0.006996,0.006757
19610330,0.002046,0.006235,0.000000
19610630,-0.001420,0.006708,0.000000
19610929,0.009886,0.006287,0.006711
19611229,-0.010663,0.005742,0.000000
19620330,0.040407,0.006999,0.003333
19620629,0.006812,0.006786,0.003322
19620928,0.018973,0.007901,0.006622
19621231,0.019217,0.007410,0.000000
19630329,0.003663,0.007348,0.003289
19630628,0.004907,0.007536,0.003279
19630930,0.003674,0.008319,0.003268
19631231,0.007553,0.008975,0.006515
19640331,0.004017,0.009338,0.000000
19640630,0.017677,0.009266,0.003236
19640930,0.008860,0.009057,0.003227
19641231,0.010278,0.009516,0.003215
19650331,0.010466,0.009757,0.003205
19650630,0.011425,0.010304,0.009584
19650930,-0.004952,0.009783,0.000000
19651231,-0.014139,0.010245,0.006330
19660331,0.007007,0.011731,0.009434
19660630,-0.018463,0.012064,0.009346
19660930,0.007423,0.011547,0.009259
19661230,0.047760,0.015720,0.006116
19670331,0.019340,0.013142,0.003040
19670630,-0.046384,0.010166,0.009090
19670929,-0.004859,0.010748,0.009009
